Name,Resource type,Project Id,Display name,Status,Folders,Organization,Parent asset type,Parent full resource name,KMS key,Description,Location,Labels,Network tags,Additional attributes
"//serviceusage.googleapis.com/projects/1049906149317/services/firebaserules.googleapis.com","serviceusage.Service","gtm-kqqwvx2-zgi2z","firebaserules.googleapis.com","ENABLED",,,"cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/gtm-kqqwvx2-zgi2z",,,"global",,,
"//serviceusage.googleapis.com/projects/1049906149317/services/sql-component.googleapis.com","serviceusage.Service","gtm-kqqwvx2-zgi2z","sql-component.googleapis.com","ENABLED",,,"cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/gtm-kqqwvx2-zgi2z",,,"global",,,
"//logging.googleapis.com/projects/1049906149317/locations/global/buckets/_Default","logging.LogBucket","gtm-kqqwvx2-zgi2z","projects/1049906149317/locations/global/buckets/_Default","ACTIVE",,,"cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/gtm-kqqwvx2-zgi2z",,"Default bucket","global",,,
"//serviceusage.googleapis.com/projects/1049906149317/services/cloudbuild.googleapis.com","serviceusage.Service","gtm-kqqwvx2-zgi2z","cloudbuild.googleapis.com","ENABLED",,,"cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/gtm-kqqwvx2-zgi2z",,,"global",,,
"//serviceusage.googleapis.com/projects/1049906149317/services/recaptchaenterprise.googleapis.com","serviceusage.Service","gtm-kqqwvx2-zgi2z","recaptchaenterprise.googleapis.com","ENABLED",,,"cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/gtm-kqqwvx2-zgi2z",,,"global",,,
"//serviceusage.googleapis.com/projects/1049906149317/services/datastore.googleapis.com","serviceusage.Service","gtm-kqqwvx2-zgi2z","datastore.googleapis.com","ENABLED",,,"cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/gtm-kqqwvx2-zgi2z",,,"global",,,
"//serviceusage.googleapis.com/projects/1049906149317/services/identitytoolkit.googleapis.com","serviceusage.Service","gtm-kqqwvx2-zgi2z","identitytoolkit.googleapis.com","ENABLED",,,"cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/gtm-kqqwvx2-zgi2z",,,"global",,,
"//logging.googleapis.com/projects/1049906149317/sinks/_Required","logging.LogSink","gtm-kqqwvx2-zgi2z","_Required",,,,"cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/gtm-kqqwvx2-zgi2z",,,"global",,,
"//serviceusage.googleapis.com/projects/1049906149317/services/secretmanager.googleapis.com","serviceusage.Service","gtm-kqqwvx2-zgi2z","secretmanager.googleapis.com","ENABLED",,,"cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/gtm-kqqwvx2-zgi2z",,,"global",,,
"//serviceusage.googleapis.com/projects/1049906149317/services/policyanalyzer.googleapis.com","serviceusage.Service","gtm-kqqwvx2-zgi2z","policyanalyzer.googleapis.com","ENABLED",,,"cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/gtm-kqqwvx2-zgi2z",,,"global",,,
"//serviceusage.googleapis.com/projects/1049906149317/services/firebasehosting.googleapis.com","serviceusage.Service","gtm-kqqwvx2-zgi2z","firebasehosting.googleapis.com","ENABLED",,,"cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/gtm-kqqwvx2-zgi2z",,,"global",,,
"//iam.googleapis.com/projects/gtm-kqqwvx2-zgi2z/serviceAccounts/116045198204599136753/keys/4c8fa88653589528976a3aab53f19ff3cba07262","iam.ServiceAccountKey","gtm-kqqwvx2-zgi2z","projects/gtm-kqqwvx2-zgi2z/serviceAccounts/firebase-adminsdk-8x08b@gtm-kqqwvx2-zgi2z.iam.gserviceaccount.com/keys/4c8fa88653589528976a3aab53f19ff3cba07262",,,,"iam.googleapis.com/ServiceAccount","//iam.googleapis.com/projects/gtm-kqqwvx2-zgi2z/serviceAccounts/firebase-adminsdk-8x08b@gtm-kqqwvx2-zgi2z.iam.gserviceaccount.com",,,,,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230215","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230215",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_intraday_20230216","bigquery.Table","gtm-kqqwvx2-zgi2z","events_intraday_20230216",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230214","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230214",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230213","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230213",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230212","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230212",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230207","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230207",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230206","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230206",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230205","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230205",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230131","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230131",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230129","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230129",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_intraday_20230130","bigquery.Table","gtm-kqqwvx2-zgi2z","events_intraday_20230130",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230124","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230124",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230123","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230123",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230122","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230122",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230117","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230117",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230116","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230116",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230115","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230115",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230110","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230110",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230109","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230109",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230103","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230103",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
"//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999/tables/events_20230102","bigquery.Table","gtm-kqqwvx2-zgi2z","events_20230102",,,,"bigquery.googleapis.com/Dataset","//bigquery.googleapis.com/projects/gtm-kqqwvx2-zgi2z/datasets/analytics_270435999",,,"US",,,
